,content,keywords,
38,"""Het Grondwettelijk Hof, beperkte kamer,samengesteld uit voorzitter F. DaoC;t en de rechters-verslaggevers J.-P. Snappe en L. Lavrysen, bijgestaan door de griffier F. Meersschaut,wijst na beraad het volgende arrest :I. Onderwerp van het beroep en rechtsplegingBij verzoekschrift dat aan het Hof is toegezonden bij op 18 augustus 2018 ter post aangetekende brief en ter griffie is ingekomen op 21 augustus 2018, heeft Alain Kiyabala Mundele beroep tot vernietiging ingesteld tegen het arrest van het Hof nr. 113/2018 van 19 juli 2018.Op 12 september 2018 hebben de rechters-verslaggevers J.-P. Snappe en L. Lavrysen, met toepassing van artikel 71, eerste lid, van de bijzondere wet van 6 januari 1989 op het Grondwettelijk Hof, de voorzitter ervan in kennis gesteld dat zij ertoe zouden kunnen worden gebracht aan het Hof, zitting houdende in beperkte kamer, voor te stellen een arrest te wijzen waarin wordt vastgesteld dat het beroep tot vernietiging klaarblijkelijk niet tot de bevoegdheid van het Hof behoort.(...)II. In rechte(...)B.1. De verzoekende partij heeft een beroep ingesteld waarbij zij het Hof vraagt het arrest nr. 113/2018 van 19 juli 2018 B+ opnieuw te onderzoeken B;, arrest waarbij het Hof, om reden van onbevoegdheid, haar beroep tot vernietiging van een arrest van het Hof van Beroep te Brussel van 6 november 2017 heeft verworpen.In haar verzoekschrift en haar memorie met verantwoording voert de verzoekende partij aan dat de motieven die het Hof in aanmerking heeft genomen en die zijn afgeleid uit zijn onbevoegdheid om, enerzijds, uitspraak te doen over een beroep tot vernietiging ingesteld tegen een arrest dat door de rechterlijke macht is gewezen en, anderzijds, prejudiciC+le vragen te beantwoorden die niet door rechtscolleges zijn gesteld, geen geldige redenen waren om het door haar op 5 mei 2018 ingediende verzoekschrift te verwerpen.B.2. Krachtens artikel 142 van de Grondwet en de artikelen 1 en 26 van de bijzondere wet van 6 januari 1989 op het Grondwettelijk Hof doet het Hof uitspraak over beroepen tot vernietiging van wetten, decreten en ordonnanties en over prejudiciC+le vragen dienaangaande, gesteld door rechtscolleges.Krachtens artikel 116 van de voormelde bijzondere wet zijn de arresten van het Hof overigens definitief en niet vatbaar voor beroep.B.3. Het beroep is klaarblijkelijk onontvankelijk.Om die redenen,het Hof, beperkte kamer,met eenparigheid van stemmen uitspraak doende,verwerpt het beroep.Aldus gewezen in het Frans, het Nederlands en het Duits, overeenkomstig artikel 65 van de bijzondere wet van 6 januari 1989 op het Grondwettelijk Hof, op 6 december 2018.De griffier,F. MeersschautDe voorzitter,F. DaoC;t""",Procedure,nl
39,"""Der Verfassungsgerichtshof, beschrC$nkte Kammer,zusammengesetzt aus dem Vorsitzenden F. DaoC;t und den referierenden Richtern J.-P. Snappe und L. Lavrysen, unter Assistenz des Kanzlers F. Meersschaut,erlC$sst nach Beratung folgenden Entscheid:I. Gegenstand der Klage und VerfahrenMit einer Klageschrift, die dem Gerichtshof mit am 18. August 2018 bei der Post aufgegebenem Einschreibebrief zugesandt wurde und am 21. August 2018 in der Kanzlei eingegangen ist, erhob Alain Kiyabala Mundele Klage auf NichtigerklC$rung des Entscheids des Gerichtshofes Nr. 113/2018 vom 19. Juli 2018.Am 12. September 2018 haben die referierenden Richter J.-P. Snappe und L. Lavrysen in Anwendung von Artikel 71 Absatz 1 des Sondergesetzes vom 6. Januar 1989 C(...)II. Rechtliche WC(...)B.1. Die klagende Partei hat eine Klage eingereicht, mit der sie den Gerichtshof bittet, den Entscheid Nr. 113/2018 vom 19. Juli 2018 B+ erneut zu prCIn ihrer Klageschrift und ihrem BegrCB.2. Aufgrund des Artikels 142 der Verfassung und der Artikel 1 und 26 des Sondergesetzes vom 6. Januar 1989 CAufgrund von Artikel 116 des vorerwC$hnten Sondergesetzes sind die Entscheide des Gerichtshofes CB.3. Die Klage ist offensichtlich unzulC$ssig.Aus diesen GrCDer Gerichtshof, beschrC$nkte Kammer,einstimmig entscheidend,weist die Klage zurCErlassen in franzC6sischer, niederlC$ndischer und deutscher Sprache, gemC$C\u001f Artikel 65 des Sondergesetzes vom 6. Januar 1989 CDer Kanzler,F. MeersschautDer PrC$sident,F. DaoC;t""",Procedure,nl
46,"""La Cour constitutionnelle, chambre restreinte,composC)e du prC)sident F. DaoC;t et des juges-rapporteurs J.-P. Snappe et L. Lavrysen, assistC)e du greffier F. Meersschaut,aprC(s en avoir dC)libC)rC), rend l'arrC*t suivant :I. Objet du recours et procC)durePar requC*te adressC)e C  la Cour par lettre recommandC)e C  la poste le 18 aoC;t 2018 et parvenue au greffe le 21 aoC;t 2018, Alain Kiyabala Mundele a introduit un recours en annulation contre l'arrC*t de la Cour nB0 113/2018 du 19 juillet 2018.Le 12 septembre 2018, en application de l'article 71, alinC)a 1er, de la loi spC)ciale du 6 janvier 1989 sur la Cour constitutionnelle, les juges-rapporteurs J.-P. Snappe et L. Lavrysen ont informC) le prC)sident qu'ils pourraient C*tre amenC)s C  proposer C  la Cour, siC)geant en chambre restreinte, de rendre un arrC*t constatant que le recours en annulation ne relC(ve manifestement pas de la compC)tence de la Cour.(...)II. En droit(...)B.1. Le requC)rant a introduit un recours par lequel il demande C  la Cour de B+ rC)examiner B; l'arrC*t nB0 113/2018 du 19 juillet 2018 par lequel la Cour a rejetC), pour motif d'incompC)tence, sa demande d'annulation d'un arrC*t de la Cour d'appel de Bruxelles du 6 novembre 2017.Dans sa requC*te et dans son mC)moire justificatif, il soutient que les motifs retenus par la Cour, tirC)s de l'incompC)tence de cette derniC(re, d'une part, C  statuer sur un recours en annulation introduit C  l'encontre d'un arrC*t rendu par le pouvoir judiciaire et, d'autre part, C  rC)pondre C  des questions prC)judicielles qui ne sont pas posC)es par des juridictions, n'C)taient pas des raisons valables pour rejeter la requC*te qu'il avait introduite le 5 mai 2018.B.2. En vertu de l'article 142 de la Constitution et des articles 1er et 26 de la loi spC)ciale du 6 janvier 1989 sur la Cour constitutionnelle, la Cour statue sur les recours en annulation de lois, dC)crets et ordonnances et sur les questions prC)judicielles y relatives, posC)es par des juridictions.Par ailleurs, en vertu de l'article 116 de la loi spC)ciale prC)citC)e, les arrC*ts de la Cour sont dC)finitifs et sans recours.B.3. Le recours est manifestement irrecevable.Par ces motifs,la Cour, chambre restreinte,statuant C  l'unanimitC) des voix,rejette le recours.Ainsi rendu en langue franC'aise, en langue nC)erlandaise et en langue allemande, conformC)ment C  l'article 65 de la loi spC)ciale du 6 janvier 1989 sur la Cour constitutionnelle, le 6 dC)cembre 2018.Le greffier,F. MeersschautLe prC)sident,F. DaoC;t""",Procedure,nl
109,"""Het Grondwettelijk Hof, beperkte kamer,samengesteld uit voorzitter A. Alen en de rechters-verslaggevers L. Lavrysen en J.-P. Snappe, bijgestaan door de griffier F. Meersschaut,wijst na beraad het volgende arrest :I. Onderwerp van het beroep en rechtsplegingBij verzoekschrift dat aan het Hof is toegezonden bij op 3 juli 2018 ter post aangetekende brief en ter griffie is ingekomen op 4 juli 2018, heeft Monique Gadeyne beroep tot vernietiging ingesteld van diverse vonnissen.Op 17 juli 2018 hebben de rechters-verslaggevers L. Lavrysen en J.-P. Snappe, met toepassing van artikel 71, eerste lid, van de bijzondere wet van 6 januari 1989 op het Grondwettelijk Hof, de voorzitter ervan in kennis gesteld dat zij ertoe zouden kunnen worden gebracht aan het Hof, zitting houdende in beperkte kamer, voor te stellen een arrest te wijzen waarin wordt vastgesteld dat het beroep tot vernietiging klaarblijkelijk niet tot de bevoegdheid van het Hof behoort.(...)II. In rechte(...)B.1. De verzoekende partij vraagt dat het Hof zich zou uitspreken over de wijze waarop de rechterlijke macht een geschil heeft beslecht waarin zij betrokken is. In haar memorie met verantwoording verduidelijkt zij dat haar verzoek niet strekt tot de vernietiging van de betrokken rechterlijke uitspraken maar tot de juiste toepassing van de artikelen 710bis en 2053 van het Burgerlijk Wetboek.B.2. Krachtens artikel 142 van de Grondwet en de artikelen 1 en 26 van de bijzondere wet van 6 januari 1989 op het Grondwettelijk Hof doet het Hof uitspraak over beroepen tot vernietiging van wetten, decreten en ordonnanties of over prejudiciC+le vragen dienaangaande, gesteld door rechtscolleges.B.3. Die bepalingen, noch enige andere grondwets- of wetsbepaling verlenen het Hof de bevoegdheid om uitspraak te doen over een beroep tot vernietiging gericht tegen vonnissen of arresten van andere rechtscolleges. Zij verlenen het Hof evenmin de bevoegdheid om te oordelen over de wijze waarop de wet wordt toegepast in een geschil tussen de verzoekende partij en een andere partij.het Hof, beperkte kamer,met eenparigheid van stemmen uitspraak doende,verwerpt het beroep.Aldus gewezen in het Nederlands, het Frans en het Duits, overeenkomstig artikel 65 van de bijzondere wet van 6 januari 1989 op het Grondwettelijk Hof, op 25 oktober 2018.De griffier,F. MeersschautDe voorzitter,A. Alen""",Procedure,nl
110,"""Der Verfassungsgerichtshof, beschrC$nkte Kammer,zusammengesetzt aus dem Vorsitzenden A. Alen und den referierenden Richtern L. Lavrysen und J.-P. Snappe, unter Assistenz des Kanzlers F. Meersschaut,erlC$sst nach Beratung folgenden Entscheid:I. Gegenstand der Klage und VerfahrenMit einer Klageschrift, die dem Gerichtshof mit am 3. Juli 2018 bei der Post aufgegebenem Einschreibebrief zugesandt wurde und am 4. Juli 2018 in der Kanzlei eingegangen ist, erhob Monique Gadeyne Klage auf NichtigerklC$rung verschiedener Urteile.Am 17. Juli 2018 haben die referierenden Richter L. Lavrysen und J.-P. Snappe in Anwendung von Artikel 71 Absatz 1 des Sondergesetzes vom 6. Januar 1989 C(...)II. Rechtliche WC(...)B.1. Die klagende Partei bittet den Gerichtshof, sich zu der Art und Weise zu C$uC\u001fern, wie die rechtsprechende Gewalt CB.2. Aufgrund der Artikel 142 der Verfassung und 1 und 26 des Sondergesetzes vom 6. Januar 1989 CB.3. Weder diese Bestimmungen noch irgendeine andere Verfassungs- oder Gesetzesbestimmung erteilen dem Gerichtshof die ZustC$ndigkeit, CAus diesen GrCDer Gerichtshof, beschrC$nkte Kammer,einstimmig entscheidend,weist die Klage zurCErlassen in niederlC$ndischer, franzC6sischer und deutscher Sprache, gemC$C\u001f Artikel 65 des Sondergesetzes vom 6. Januar 1989 CDer Kanzler,F. MeersschautDer PrC$sident,A. Alen""",Procedure,nl
111,"""La Cour constitutionnelle, chambre restreinte,composC)e du prC)sident A. Alen et des rapporteurs, le juge E. Derycke et le prC)sident F. DaoC;t, assistC)e du greffier F. Meersschaut,aprC(s en avoir dC)libC)rC), rend l'arrC*t suivant :I. Objet du recours et procC)durePar requC*te adressC)e C  la Cour par lettre recommandC)e C  la poste le 5 juillet 2018 et parvenue au greffe le 6 juillet 2018, Karel Vansant a introduit un recours en annulation d'un arrC*t de la Cour du travail de Gand, division Bruges.Le 17 juillet 2018, en application de l'article 71, alinC)a 1er, de la loi spC)ciale du 6 janvier 1989 sur la Cour constitutionnelle, les juges-rapporteurs E. Derycke et F. DaoC;t ont informC) le prC)sident qu'ils pourraient C*tre amenC)s C  proposer C  la Cour, siC)geant en chambre restreinte, de rendre un arrC*t constatant que le recours en annulation ne relC(ve manifestement pas de la compC)tence de la Cour.(...)II. En droit(...)B.1. La partie requC)rante demande l'annulation d'un arrC*t de la Cour du travail de Gand, division Bruges, du 13 fC)vrier 2018 (numC)ro 2017/AR/179 du rC4le).B.2. En vertu de l'article 142 de la Constitution et des articles 1er et 26 de la loi spC)ciale du 6 janvier 1989 sur la Cour constitutionnelle, la Cour statue sur les recours en annulation de lois, dC)crets et ordonnances ou sur les questions prC)judicielles y relatives, posC)es par des juridictions.B.3. Ni ces dispositions, ni aucune autre disposition constitutionnelle ou lC)gislative ne confC(rent C  la Cour la compC)tence de statuer sur un recours en annulation dirigC) contre des jugements ou arrC*ts d'autres juridictions.Par ces motifs,la Cour, chambre restreinte,statuant C  l'unanimitC) des voix,rejette le recours.Ainsi rendu en langue nC)erlandaise, en langue franC'aise et en langue allemande, conformC)ment C  l'article 65 de la loi spC)ciale du 6 janvier 1989 sur la Cour constitutionnelle, le 25 octobre 2018.Le greffier,F. MeersschautLe prC)sident,A. Alen""",Procedure,nl
112,"""Het Grondwettelijk Hof, beperkte kamer,samengesteld uit voorzitter A. Alen en de verslaggevers rechter E. Derycke en voorzitter F. DaoC;t, bijgestaan door de griffier F. Meersschaut,wijst na beraad het volgende arrest :I. Onderwerp van het beroep en rechtsplegingBij verzoekschrift dat aan het Hof is toegezonden bij op 5 juli 2018 ter post aangetekende brief en ter griffie is ingekomen op 6 juli 2018, heeft Karel Vansant beroep tot vernietiging ingesteld van een arrest van het Arbeidshof te Gent, afdeling Brugge.Op 17 juli 2018 hebben de rechters-verslaggevers E. Derycke en F. DaoC;t, met toepassing van artikel 71, eerste lid, van de bijzondere wet van 6 januari 1989 op het Grondwettelijk Hof, de voorzitter ervan in kennis gesteld dat zij ertoe zouden kunnen worden gebracht aan het Hof, zitting houdende in beperkte kamer, voor te stellen een arrest te wijzen waarin wordt vastgesteld dat het beroep tot vernietiging klaarblijkelijk niet tot de bevoegdheid van het Hof behoort.(...)II. In rechte(...)B.1. De verzoekende partij vordert de vernietiging van een arrest van het Arbeidshof te Gent, afdeling Brugge, van 13 februari 2018 (rolnummer 2017/AR/179).B.2. Krachtens artikel 142 van de Grondwet en de artikelen 1 en 26 van de bijzondere wet van 6 januari 1989 op het Grondwettelijk Hof doet het Hof uitspraak over beroepen tot vernietiging van wetten, decreten en ordonnanties of over prejudiciC+le vragen dienaangaande, gesteld door rechtscolleges.B.3. Die bepalingen, noch enige andere grondwets- of wetsbepaling verlenen het Hof de bevoegdheid om uitspraak te doen over een beroep tot vernietiging gericht tegen vonnissen of arresten van andere rechtscolleges.Om die redenen,het Hof, beperkte kamer,met eenparigheid van stemmen uitspraak doende,verwerpt het beroep.Aldus gewezen in het Nederlands, het Frans en het Duits, overeenkomstig artikel 65 van de bijzondere wet van 6 januari 1989 op het Grondwettelijk Hof, op 25 oktober 2018.De griffier,F. MeersschautDe voorzitter,A. Alen""",Procedure,nl
113,"""La Cour constitutionnelle, chambre restreinte,composC)e du prC)sident A. Alen et des juges-rapporteurs L. Lavrysen et J.-P. Snappe, assistC)e du greffier F. Meersschaut,aprC(s en avoir dC)libC)rC), rend l'arrC*t suivant :I. Objet du recours et procC)durePar requC*te adressC)e C  la Cour par lettre recommandC)e C  la poste le 3 juillet 2018 et parvenue au greffe le 4 juillet 2018, Monique Gadeyne a introduit un recours en annulation de plusieurs jugements.Le 17 juillet 2018, en application de l'article 71, alinC)a 1er, de la loi spC)ciale du 6 janvier 1989 sur la Cour constitutionnelle, les juges-rapporteurs L. Lavrysen et J.-P. Snappe ont informC) le prC)sident qu'ils pourraient C*tre amenC)s C  proposer C  la Cour, siC)geant en chambre restreinte, de rendre un arrC*t constatant que le recours en annulation ne relC(ve manifestement pas de la compC)tence de la Cour.(...)II. En droit(...)B.1. La partie requC)rante demande C  la Cour de se prononcer sur la maniC(re dont le pouvoir judiciaire a tranchC) un litige auquel elle est partie. Dans son mC)moire justificatif, elle prC)cise que sa demande ne tend pas C  l'annulation des dC)cisions judiciaires concernC)es, mais C  l'application correcte des articles 710bis et 2053 du Code civil.B.2. En vertu de l'article 142 de la Constitution et des articles 1er et 26 de la loi spC)ciale du 6 janvier 1989 sur la Cour constitutionnelle, la Cour statue sur les recours en annulation de lois, dC)crets et ordonnances et sur les questions prC)judicielles y relatives, posC)es par des juridictions.B.3. Ni ces dispositions, ni aucune autre disposition constitutionnelle ou lC)gislative ne confC(rent C  la Cour le pouvoir de statuer sur un recours en annulation dirigC) contre des jugements ou arrC*ts d'autres juridictions. Elles ne confC(rent pas davantage C  la Cour le pouvoir d'apprC)cier la maniC(re dont la loi est appliquC)e dans un litige entre la partie requC)rante et une autre partie.Par ces motifs,la Cour, chambre restreinte,statuant C  l'unanimitC) des voix,rejette le recours.Ainsi rendu en langue nC)erlandaise, en langue franC'aise et en langue allemande, conformC)ment C  l'article 65 de la loi spC)ciale du 6 janvier 1989 sur la Cour constitutionnelle, le 25 octobre 2018.Le greffier,F. MeersschautLe prC)sident,A. Alen""",Procedure,nl
114,"""Der Verfassungsgerichtshof, beschrC$nkte Kammer,zusammengesetzt aus dem Vorsitzenden A. Alen und den Berichterstattern Richter E. Derycke und PrC$sident F. DaoC;t, unter Assistenz des Kanzlers F. Meersschaut,erlC$sst nach Beratung folgenden Entscheid:I. Gegenstand der Klage und VerfahrenMit einer Klageschrift, die dem Gerichtshof mit am 5. Juli 2018 bei der Post aufgegebenem Einschreibebrief zugesandt wurde und am 6. Juli 2018 in der Kanzlei eingegangen ist, erhob Karel Vansant Klage auf NichtigerklC$rung eines Entscheids des Arbeitsgerichtshofes Gent, Abteilung BrCAm 17. Juli 2018 haben die referierenden Richter E. Derycke und F. DaoC;t in Anwendung von Artikel 71 Absatz 1 des Sondergesetzes vom 6. Januar 1989 C(...)II. Rechtliche WC(...)B.1. Die klagende Partei beantragt die NichtigerklC$rung eines Entscheids des Arbeitsgerichtshofes Gent, Abteilung BrCB.2. Aufgrund der Artikel 142 der Verfassung und 1 und 26 des Sondergesetzes vom 6. Januar 1989 CB.3. Weder diese Bestimmungen noch irgendeine andere Verfassungs- oder Gesetzesbestimmung erteilen dem Gerichtshof die ZustC$ndigkeit, CAus diesen GrCDer Gerichtshof, beschrC$nkte Kammer,einstimmig entscheidend,weist die Klage zurCErlassen in niederlC$ndischer, franzC6sischer und deutscher Sprache, gemC$C\u001f Artikel 65 des Sondergesetzes vom 6. Januar 1989 CDer Kanzler,F. MeersschautDer PrC$sident,A. Alen""",Procedure,nl
235,"""Het Grondwettelijk Hof, beperkte kamer,samengesteld uit voorzitter F. DaoC;t en de rechters-verslaggevers J.-P. Snappe en L. Lavrysen, bijgestaan door de griffier F. Meersschaut,wijst na beraad het volgende arrest :I. Onderwerp van het beroep en rechtsplegingBij verzoekschrift dat aan het Hof is toegezonden bij op 18 augustus 2018 ter post aangetekende brief en ter griffie is ingekomen op 21 augustus 2018, heeft Alain Kiyabala Mundele beroep tot vernietiging ingesteld tegen het arrest van het Hof nr. 113/2018 van 19 juli 2018.Op 12 september 2018 hebben de rechters-verslaggevers J.-P. Snappe en L. Lavrysen, met toepassing van artikel 71, eerste lid, van de bijzondere wet van 6 januari 1989 op het Grondwettelijk Hof, de voorzitter ervan in kennis gesteld dat zij ertoe zouden kunnen worden gebracht aan het Hof, zitting houdende in beperkte kamer, voor te stellen een arrest te wijzen waarin wordt vastgesteld dat het beroep tot vernietiging klaarblijkelijk niet tot de bevoegdheid van het Hof behoort.(...)II. In rechte(...)B.1. De verzoekende partij heeft een beroep ingesteld waarbij zij het Hof vraagt het arrest nr. 113/2018 van 19 juli 2018 B+ opnieuw te onderzoeken B;, arrest waarbij het Hof, om reden van onbevoegdheid, haar beroep tot vernietiging van een arrest van het Hof van Beroep te Brussel van 6 november 2017 heeft verworpen.In haar verzoekschrift en haar memorie met verantwoording voert de verzoekende partij aan dat de motieven die het Hof in aanmerking heeft genomen en die zijn afgeleid uit zijn onbevoegdheid om, enerzijds, uitspraak te doen over een beroep tot vernietiging ingesteld tegen een arrest dat door de rechterlijke macht is gewezen en, anderzijds, prejudiciC+le vragen te beantwoorden die niet door rechtscolleges zijn gesteld, geen geldige redenen waren om het door haar op 5 mei 2018 ingediende verzoekschrift te verwerpen.B.2. Krachtens artikel 142 van de Grondwet en de artikelen 1 en 26 van de bijzondere wet van 6 januari 1989 op het Grondwettelijk Hof doet het Hof uitspraak over beroepen tot vernietiging van wetten, decreten en ordonnanties en over prejudiciC+le vragen dienaangaande, gesteld door rechtscolleges.Krachtens artikel 116 van de voormelde bijzondere wet zijn de arresten van het Hof overigens definitief en niet vatbaar voor beroep.B.3. Het beroep is klaarblijkelijk onontvankelijk.Om die redenen,het Hof, beperkte kamer,met eenparigheid van stemmen uitspraak doende,verwerpt het beroep.Aldus gewezen in het Frans, het Nederlands en het Duits, overeenkomstig artikel 65 van de bijzondere wet van 6 januari 1989 op het Grondwettelijk Hof, op 6 december 2018.De griffier,F. MeersschautDe voorzitter,F. DaoC;t""",Procedure,nl
